Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 1. World Size: 2
Rank: 0. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.9356
Rank: 1, Epoch: 0, Training ...
Rank,0,Initialization Time: 1.9359
Rank: 0, Epoch: 0, Training ...
Rank, 0, Epoch, 0, Iteration, 0, It. time, 1.4417s,Elapsed time,1.4417
Rank, 1, Epoch, 0, Iteration, 0, It. time, 1.4496s,Elapsed time,1.4496
Rank, 1, Epoch, 0, Iteration, 1, It. time, 1.1813s,Elapsed time,2.6309
Rank, 0, Epoch, 0, Iteration, 1, It. time, 1.1769s,Elapsed time,2.6186
Rank, 0, Epoch, 0, Iteration, 2, It. time, 1.1526s,Elapsed time,3.7713
Rank, 1, Epoch, 0, Iteration, 2, It. time, 1.1636s,Elapsed time,3.7945
Rank, 0, Epoch, 0, Iteration, 3, It. time, 1.1538s,Elapsed time,4.9251
Rank, 1, Epoch, 0, Iteration, 3, It. time, 1.1563s,Elapsed time,4.9508
Rank, 0, Epoch, 0, Iteration, 4, It. time, 1.1541s,Elapsed time,6.0792
Rank, 1, Epoch, 0, Iteration, 4, It. time, 1.1582s,Elapsed time,6.1090
Rank, 0, Epoch, 0, Iteration, 5, It. time, 1.1526s,Elapsed time,7.2317
Rank, 1, Epoch, 0, Iteration, 5, It. time, 1.1545s,Elapsed time,7.2635
Rank, 0, Epoch, 0, Iteration, 6, It. time, 1.1468s,Elapsed time,8.3785
Rank, 1, Epoch, 0, Iteration, 6, It. time, 1.1478s,Elapsed time,8.4113
Rank, 1, Epoch, 0, Iteration, 7, It. time, 1.1541s,Elapsed time,9.5654
Rank, 0, Epoch, 0, Iteration, 7, It. time, 1.1531s,Elapsed time,9.5317
Rank, 0, Epoch, 0, Iteration, 8, It. time, 1.1639s,Elapsed time,10.6956
Rank, 1, Epoch, 0, Iteration, 8, It. time, 1.1622s,Elapsed time,10.7276
Rank, 1, Epoch, 0, Iteration, 9, It. time, 1.1831s,Elapsed time,11.9107
Rank, 0, Epoch, 0, Iteration, 9, It. time, 1.1758s,Elapsed time,11.8714
Rank, 1, Epoch, 0, Iteration, 10, It. time, 1.1790s,Elapsed time,13.0897
Rank, 0, Epoch, 0, Iteration, 10, It. time, 1.1880s,Elapsed time,13.0594
Rank, 1, Epoch, 0, Iteration, 11, It. time, 1.1401s,Elapsed time,14.2298
Rank, 0, Epoch, 0, Iteration, 11, It. time, 1.1511s,Elapsed time,14.2105
Rank, 0, Epoch, 0, Iteration, 12, It. time, 1.1678s,Elapsed time,15.3783
Rank, 1, Epoch, 0, Iteration, 12, It. time, 1.1787s,Elapsed time,15.4085
Rank, 1, Epoch, 0, Iteration, 13, It. time, 1.1508s,Elapsed time,16.5593
Rank, 0, Epoch, 0, Iteration, 13, It. time, 1.1603s,Elapsed time,16.5386
