Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 0. World Size: 2
Rank: 1. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.8638
Rank,0,Initialization Time: 1.8638
Rank: 0, Epoch: 0, Training ...
Rank: 1, Epoch: 0, Training ...
Rank, 1, Epoch, 0, Iteration, 0, It. time, 1.3822s,Elapsed time,1.3822
Rank, 0, Epoch, 0, Iteration, 0, It. time, 1.3810s,Elapsed time,1.3810
Rank, 0, Epoch, 0, Iteration, 1, It. time, 1.1238s,Elapsed time,2.5049
Rank, 1, Epoch, 0, Iteration, 1, It. time, 1.1230s,Elapsed time,2.5053
Rank, 1, Epoch, 0, Iteration, 2, It. time, 1.0995s,Elapsed time,3.6047
Rank, 0, Epoch, 0, Iteration, 2, It. time, 1.1024s,Elapsed time,3.6073
Rank, 0, Epoch, 0, Iteration, 3, It. time, 1.0950s,Elapsed time,4.7023
Rank, 1, Epoch, 0, Iteration, 3, It. time, 1.0952s,Elapsed time,4.6999
Rank, 0, Epoch, 0, Iteration, 4, It. time, 1.0837s,Elapsed time,5.7860
Rank, 1, Epoch, 0, Iteration, 4, It. time, 1.0838s,Elapsed time,5.7837
Rank, 1, Epoch, 0, Iteration, 5, It. time, 1.1284s,Elapsed time,6.9121
Rank, 0, Epoch, 0, Iteration, 5, It. time, 1.1287s,Elapsed time,6.9147
Rank, 0, Epoch, 0, Iteration, 6, It. time, 1.0840s,Elapsed time,7.9987
Rank, 1, Epoch, 0, Iteration, 6, It. time, 1.0841s,Elapsed time,7.9962
Rank, 0, Epoch, 0, Iteration, 7, It. time, 1.0857s,Elapsed time,9.0845
Rank, 1, Epoch, 0, Iteration, 7, It. time, 1.0857s,Elapsed time,9.0820
Rank, 1, Epoch, 0, Iteration, 8, It. time, 1.0834s,Elapsed time,10.1654
Rank, 0, Epoch, 0, Iteration, 8, It. time, 1.0837s,Elapsed time,10.1682
Rank, 1, Epoch, 0, Iteration, 9, It. time, 1.1184s,Elapsed time,11.2838
Rank, 0, Epoch, 0, Iteration, 9, It. time, 1.1188s,Elapsed time,11.2870
Rank, 0, Epoch, 0, Iteration, 10, It. time, 1.0894s,Elapsed time,12.3763
Rank, 1, Epoch, 0, Iteration, 10, It. time, 1.0895s,Elapsed time,12.3733
Rank, 0, Epoch, 0, Iteration, 11, It. time, 1.1053s,Elapsed time,13.4816
Rank, 1, Epoch, 0, Iteration, 11, It. time, 1.1053s,Elapsed time,13.4787
Rank, 0, Epoch, 0, Iteration, 12, It. time, 1.0920s,Elapsed time,14.5736
Rank, 1, Epoch, 0, Iteration, 12, It. time, 1.0920s,Elapsed time,14.5707
Rank, 1, Epoch, 0, Iteration, 13, It. time, 1.0945s,Elapsed time,15.6652
Rank, 0, Epoch, 0, Iteration, 13, It. time, 1.0945s,Elapsed time,15.6681
Rank, 1, Epoch, 0, Iteration, 14, It. time, 1.0806s,Elapsed time,16.7458
