Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 1. World Size: 2
Rank: 0. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,0,Initialization Time: 0.9599
Rank: 0, Epoch: 0, Training ...
Rank,1,Initialization Time: 0.9641
Rank: 1, Epoch: 0, Training ...
Rank, 0, Epoch, 0, Iteration, 0, It. time, 1.4886s,Elapsed time,1.4886
Rank, 1, Epoch, 0, Iteration, 0, It. time, 1.4608s,Elapsed time,1.4608
Rank, 0, Epoch, 0, Iteration, 1, It. time, 1.2992s,Elapsed time,2.7878
Rank, 1, Epoch, 0, Iteration, 1, It. time, 1.3111s,Elapsed time,2.7719
Rank, 0, Epoch, 0, Iteration, 2, It. time, 1.2911s,Elapsed time,4.0789
Rank, 1, Epoch, 0, Iteration, 2, It. time, 1.2860s,Elapsed time,4.0580
Rank, 1, Epoch, 0, Iteration, 3, It. time, 1.2744s,Elapsed time,5.3324
Rank, 0, Epoch, 0, Iteration, 3, It. time, 1.2763s,Elapsed time,5.3553
Rank, 1, Epoch, 0, Iteration, 4, It. time, 1.2845s,Elapsed time,6.6168
Rank, 0, Epoch, 0, Iteration, 4, It. time, 1.2870s,Elapsed time,6.6422
Rank, 0, Epoch, 0, Iteration, 5, It. time, 1.2669s,Elapsed time,7.9091
Rank, 1, Epoch, 0, Iteration, 5, It. time, 1.2735s,Elapsed time,7.8903
Rank, 0, Epoch, 0, Iteration, 6, It. time, 1.2663s,Elapsed time,9.1754
Rank, 1, Epoch, 0, Iteration, 6, It. time, 1.2692s,Elapsed time,9.1595
Rank, 1, Epoch, 0, Iteration, 7, It. time, 1.2717s,Elapsed time,10.4313
Rank, 0, Epoch, 0, Iteration, 7, It. time, 1.2799s,Elapsed time,10.4553
Rank, 1, Epoch, 0, Iteration, 8, It. time, 1.2768s,Elapsed time,11.7080
Rank, 0, Epoch, 0, Iteration, 8, It. time, 1.2672s,Elapsed time,11.7224
Rank, 1, Epoch, 0, Iteration, 9, It. time, 1.2910s,Elapsed time,12.9991
Rank, 0, Epoch, 0, Iteration, 9, It. time, 1.2985s,Elapsed time,13.0209
Rank, 0, Epoch, 0, Iteration, 10, It. time, 1.2898s,Elapsed time,14.3107
Rank, 1, Epoch, 0, Iteration, 10, It. time, 1.2999s,Elapsed time,14.2990
Rank, 1, Epoch, 0, Iteration, 11, It. time, 1.2762s,Elapsed time,15.5751
Rank, 0, Epoch, 0, Iteration, 11, It. time, 1.2858s,Elapsed time,15.5965
Rank, 0, Epoch, 0, Iteration, 12, It. time, 1.2792s,Elapsed time,16.8757
Rank, 1, Epoch, 0, Iteration, 12, It. time, 1.2895s,Elapsed time,16.8647
Rank, 1, Epoch, 0, Iteration, 13, It. time, 1.2901s,Elapsed time,18.1547
Rank, 0, Epoch, 0, Iteration, 13, It. time, 1.2901s,Elapsed time,18.1658
Rank, 0, Epoch, 0, Iteration, 14, It. time, 1.2683s,Elapsed time,19.4341
Rank, 1, Epoch, 0, Iteration, 14, It. time, 1.2676s,Elapsed time,19.4223
Rank, 0, Epoch, 0, Iteration, 15, It. time, 1.2792s,Elapsed time,20.7133
Rank, 1, Epoch, 0, Iteration, 15, It. time, 1.2815s,Elapsed time,20.7039
Rank, 0, Epoch, 0, Iteration, 16, It. time, 1.2828s,Elapsed time,21.9961
Rank, 1, Epoch, 0, Iteration, 16, It. time, 1.2853s,Elapsed time,21.9891
Rank, 1, Epoch, 0, Iteration, 17, It. time, 1.3289s,Elapsed time,23.3180
Rank, 0, Epoch, 0, Iteration, 17, It. time, 1.3411s,Elapsed time,23.3372
Rank, 1, Epoch, 0, Iteration, 18, It. time, 1.2912s,Elapsed time,24.6091
Rank, 0, Epoch, 0, Iteration, 18, It. time, 1.2869s,Elapsed time,24.6241
Rank, 0, Epoch, 0, Iteration, 19, It. time, 1.3019s,Elapsed time,25.9261
Rank, 1, Epoch, 0, Iteration, 19, It. time, 1.2964s,Elapsed time,25.9056
Rank, 1, Epoch, 0, Iteration, 20, It. time, 1.2872s,Elapsed time,27.1928
Rank, 0, Epoch, 0, Iteration, 20, It. time, 1.2907s,Elapsed time,27.2168
Rank, 0, Epoch, 0, Iteration, 21, It. time, 1.2743s,Elapsed time,28.4911
Rank, 1, Epoch, 0, Iteration, 21, It. time, 1.2750s,Elapsed time,28.4678
Rank, 1, Epoch, 0, Iteration, 22, It. time, 1.2862s,Elapsed time,29.7539
Rank, 0, Epoch, 0, Iteration, 22, It. time, 1.2962s,Elapsed time,29.7873
Rank, 0, Epoch, 0, Iteration, 23, It. time, 1.2919s,Elapsed time,31.0791
Rank, 1, Epoch, 0, Iteration, 23, It. time, 1.3006s,Elapsed time,31.0545
Rank, 1, Epoch, 0, Iteration, 24, It. time, 1.2814s,Elapsed time,32.3359
Rank, 0, Epoch, 0, Iteration, 24, It. time, 1.2901s,Elapsed time,32.3692
Rank, 1, Epoch, 0, Iteration, 25, It. time, 1.2826s,Elapsed time,33.6185
Rank, 0, Epoch, 0, Iteration, 25, It. time, 1.2764s,Elapsed time,33.6456
